load,Month_sin,Month_cos,Day_sin,Day_cos,Hour_sin,Hour_cos,Day of the Week_sin,Day of the Week_cos
112,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,-0.2588190451025208,-0.9659258262890683,0.0,1.0
118,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,1.2246467991473532e-16,-1.0,0.0,1.0
115,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,0.258819045102521,-0.9659258262890682,0.0,1.0
117,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,0.49999999999999994,-0.8660254037844387,0.0,1.0
117,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,0.7071067811865476,-0.7071067811865475,0.0,1.0
104,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,0.8660254037844387,-0.49999999999999983,0.0,1.0
89,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,0.9659258262890683,-0.25881904510252063,0.0,1.0
73,0.8660254037844386,0.5000000000000001,-0.743144825477394,0.6691306063588585,1.0,6.123233995736766e-17,0.0,1.0
67,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
68,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
69,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
67,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
70,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
69,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334
67,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
69,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
67,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
68,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334
68,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334
71,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
63,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
68,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
68,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146
67,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
69,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146
