Temp Current,Temp Hourly,Temp Hourly.1,Temp Hourly.2,Temp Hourly.3,Temp Hourly.4,Temp Hourly.5,Temp Hourly.6,Temp Hourly.7,Temp Hourly.8,Temp Hourly.9,Temp Hourly.10,Temp Hourly.11,Clouds Current,Clouds Hourly,Clouds Hourly.1,Clouds Hourly.2,Clouds Hourly.3,Clouds Hourly.4,Clouds Hourly.5,Clouds Hourly.6,Clouds Hourly.7,Clouds Hourly.8,Clouds Hourly.9,Clouds Hourly.10,Clouds Hourly.11,UVI Current,UVI Hourly,UVI Hourly.1,UVI Hourly.2,UVI Hourly.3,UVI Hourly.4,UVI Hourly.5,UVI Hourly.6,UVI Hourly.7,UVI Hourly.8,UVI Hourly.9,UVI Hourly.10,UVI Hourly.11,POP Current,POP Hourly,POP Hourly.1,POP Hourly.2,POP Hourly.3,POP Hourly.4,POP Hourly.5,POP Hourly.6,POP Hourly.7,POP Hourly.8,POP Hourly.9,POP Hourly.10,POP Hourly.11,Label
18.46,18.46,18.46,20.19,23.63,28.33,31.82,32.97,34.34,35.06,35.22,35.29,35.22,0,0,19,40,60,80,100,100,100,100,100,100,100,0.0,0.0,0.0,0.19,0.55,1.09,1.18,1.53,1.67,1.29,1.03,0.68,0.21,0.0,0.0,0.0,0.005,0.037,0.065,0.092,0.077,0.011,0.008,0.008,0.005,0.01,True
32.65,32.65,31.6,31.17,31.68,32.47,33.17,34.12,34.65,34.57,33.03,31.12,29.66,100,100,85,95,89,88,87,86,86,100,100,100,100,0.0,0.0,0.0,0.32,0.89,1.76,2.75,3.54,3.87,2.19,1.74,1.15,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.032,0.022,0.034999999999999996,0.034999999999999996,True
28.98,28.98,28.58,28.26,28.13,28.0,27.43,27.7,28.0,28.13,27.86,27.7,27.81,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.17,0.49,0.97,1.66,2.14,2.34,1.36,1.08,0.71,0.17,0.028000000000000004,0.028000000000000004,0.04,0.032,0.028999999999999998,0.057999999999999996,0.075,0.08,0.057999999999999996,0.06999999999999999,0.08199999999999999,0.097,0.1,False
31.42,31.42,31.69,31.93,32.32,33.48,33.96,34.32,34.63,33.42,31.82,31.91,32.04,100,100,100,100,100,100,100,100,100,100,100,100,94,0.0,0.0,0.0,0.04,0.11,0.22,0.96,1.23,1.34,2.19,1.75,1.16,0.95,0.1,0.1,0.094,0.099,0.099,0.1,0.099,0.079,0.003,0.0,0.001,0.003,0.003,False
23.88,23.88,23.52,23.2,23.05,23.18,23.67,24.49,25.66,26.71,27.68,28.63,29.1,100,100,100,90,92,90,90,92,93,100,100,100,99,0.0,0.0,0.0,0.33,0.9,1.76,2.33,2.98,3.24,2.92,2.33,1.56,0.99,0.012,0.012,0.02,0.027000000000000003,0.022,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.032,0.032,0.032,0.032,0.028000000000000004,True
16.72,16.72,16.32,17.94,20.35,23.11,25.84,26.78,27.77,28.63,29.41,29.95,30.33,40,40,40,45,43,38,31,31,34,81,59,69,77,0.0,0.0,0.0,0.35,0.94,1.83,2.8,3.57,3.89,3.68,2.95,1.97,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
27.01,27.01,27.77,29.08,30.49,32.04,33.62,34.0,34.3,34.5,34.63,34.74,35.24,0,0,13,33,38,38,43,45,46,60,62,67,74,0.0,0.0,0.0,0.35,0.96,1.87,3.1,3.96,4.31,4.16,3.33,2.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
30.85,30.85,31.75,33.51,35.28,37.6,40.82,42.48,44.04,45.41,44.28,42.94,43.38,0,0,17,40,60,80,100,100,100,100,100,100,100,0.0,0.0,0.0,0.34,0.93,1.82,2.55,3.26,3.55,2.43,1.95,1.3,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.045,0.075,0.075,0.072,True
38.82,38.82,38.39,38.28,38.52,38.97,40.26,42.13,43.63,44.89,46.04,46.67,47.28,40,40,51,62,74,86,99,92,87,100,100,100,100,0.0,0.0,0.06,0.25,0.67,1.3,3.07,3.91,4.26,3.88,3.11,2.08,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
44.38,44.38,43.77,43.21,43.02,43.61,44.96,46.35,47.28,47.8,48.49,48.15,47.61,40,40,52,64,76,88,100,100,100,100,100,100,100,0.0,0.0,0.08,0.42,1.13,2.18,3.49,4.44,4.84,4.62,3.7,2.48,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
53.19,53.19,51.93,50.56,50.09,50.54,51.6,53.31,54.54,55.44,55.62,55.35,54.59,0,0,7,10,16,21,25,25,25,25,27,27,27,0.0,0.0,0.09,0.46,1.23,2.38,4.07,5.2,5.65,5.48,4.39,2.95,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
37.67,37.67,38.17,38.23,38.19,38.21,38.34,38.39,38.64,38.48,37.89,37.33,37.17,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.05,0.28,0.76,1.45,1.5,1.9,2.08,2.08,1.67,1.12,0.66,0.004,0.013000000000000001,0.006,0.031,0.043,0.039,0.039,0.039,0.027000000000000003,0.001,0.0,0.0,0.0,True
